Game Date,Game ID,Game Time,Arena,Arena City,Home Team Abbreviation,Home Conference,Home Division,Visiting Team Abbreviation,Visiting Conference,Visiting Division,Divisional Game,Conference Game
2024-10-22,0022400061,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,NYK,East,Atlantic,Yes,Yes
2024-10-22,0022400062,10:00 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,MIN,West,Northwest,No,Yes
2024-10-23,0022400067,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,CLE,East,Central,No,Yes
2024-10-23,0022400072,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,GSW,West,Pacific,No,Yes
2024-10-23,0022400071,10:00 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,PHX,West,Pacific,Yes,Yes
2024-10-23,0022400070,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,MEM,West,Southwest,No,Yes
2024-10-23,0022400066,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,MIL,East,Central,No,Yes
2024-10-23,0022400068,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,CHA,East,Southeast,No,No
2024-10-23,0022400065,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,ORL,East,Southeast,Yes,Yes
2024-10-23,0022400064,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,BKN,East,Atlantic,No,Yes
2024-10-23,0022400069,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,CHI,East,Central,No,No
2024-10-23,0022400063,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,IND,East,Central,Yes,Yes
2024-10-24,0022400073,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,BOS,East,Atlantic,No,Yes
2024-10-24,0022400074,7:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,SAS,West,Southwest,Yes,Yes
2024-10-24,0022400075,10:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,OKC,West,Northwest,Yes,Yes
2024-10-24,0022400076,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,MIN,West,Northwest,No,Yes
2024-10-25,0022400086,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,NOP,West,Southwest,No,Yes
2024-10-25,0022400085,10:00 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,PHX,West,Pacific,Yes,Yes
2024-10-25,0022400084,9:30 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,GSW,West,Pacific,No,Yes
2024-10-25,0022400083,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,CHI,East,Central,Yes,Yes
2024-10-25,0022400080,7:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,DET,East,Central,Yes,Yes
2024-10-25,0022400081,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,IND,East,Central,No,Yes
2024-10-25,0022400079,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,CHA,East,Southeast,Yes,Yes
2024-10-25,0022400078,7:00 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,PHI,East,Atlantic,Yes,Yes
2024-10-25,0022400077,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,BKN,East,Atlantic,No,Yes
2024-10-25,0022400082,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,MEM,West,Southwest,Yes,Yes
2024-10-26,0022400094,8:30 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,HOU,West,Southwest,Yes,Yes
2024-10-26,0022400095,10:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,DAL,West,Southwest,No,Yes
2024-10-26,0022400093,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,TOR,East,Atlantic,No,No
2024-10-26,0022400096,10:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,SAC,West,Pacific,Yes,Yes
2024-10-26,0022400091,8:00 pm ET,United Center,Chicago,CHI,East,Central,OKC,West,Northwest,No,No
2024-10-26,0022400090,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,CLE,East,Central,No,Yes
2024-10-26,0022400089,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,BOS,East,Atlantic,No,Yes
2024-10-26,0022400087,5:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,LAC,West,Pacific,No,Yes
2024-10-26,0022400088,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,MIA,East,Southeast,Yes,Yes
2024-10-26,0022400092,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,ORL,East,Southeast,No,No
2024-10-27,0022400097,3:30 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,PHI,East,Atlantic,No,Yes
2024-10-27,0022400098,6:00 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,MIL,East,Central,No,Yes
2024-10-27,0022400099,6:00 pm ET,Moda Center,Portland,POR,West,Northwest,NOP,West,Southwest,No,Yes
2024-10-27,0022400100,7:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,ATL,East,Southeast,No,No
2024-10-27,0022400101,8:30 pm ET,Chase Center,San Francisco,GSW,West,Pacific,LAC,West,Pacific,Yes,Yes
2024-10-28,0022400112,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,POR,West,Northwest,No,Yes
2024-10-28,0022400111,10:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,LAL,West,Pacific,Yes,Yes
2024-10-28,0022400110,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,UTA,West,Northwest,No,Yes
2024-10-28,0022400109,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,HOU,West,Southwest,Yes,Yes
2024-10-28,0022400107,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,DEN,West,Northwest,No,No
2024-10-28,0022400106,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,CLE,East,Central,No,Yes
2024-10-28,0022400105,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,DET,East,Central,No,Yes
2024-10-28,0022400104,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,MIL,East,Central,No,Yes
2024-10-28,0022400103,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,WAS,East,Southeast,Yes,Yes
2024-10-28,0022400102,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,IND,East,Central,No,Yes
2024-10-28,0022400108,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,CHI,East,Central,No,No
2024-10-29,0022400113,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,DEN,West,Northwest,No,No
2024-10-29,0022400114,7:30 pm ET,Target Center,Minneapolis,MIN,West,Northwest,DAL,West,Southwest,No,Yes
2024-10-29,0022400115,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,SAC,West,Pacific,No,Yes
2024-10-29,0022400116,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,NOP,West,Southwest,No,Yes
2024-10-30,0022400125,9:30 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,SAS,West,Southwest,No,Yes
2024-10-30,0022400127,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,POR,West,Northwest,No,Yes
2024-10-30,0022400126,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,NOP,West,Southwest,No,Yes
2024-10-30,0022400124,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,BKN,East,Atlantic,No,No
2024-10-30,0022400122,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,NYK,East,Atlantic,No,Yes
2024-10-30,0022400117,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,TOR,East,Atlantic,No,Yes
2024-10-30,0022400121,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,ATL,East,Southeast,Yes,Yes
2024-10-30,0022400120,7:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,DET,East,Central,No,Yes
2024-10-30,0022400119,7:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,BOS,East,Atlantic,No,Yes
2024-10-30,0022400123,8:00 pm ET,United Center,Chicago,CHI,East,Central,ORL,East,Southeast,No,Yes
