Game Date,Game ID,Game Time,Arena,Arena City,Home Team Abbreviation,Home Conference,Home Division,Visiting Team Abbreviation,Visiting Conference,Visiting Division,Divisional Game,Conference Game,Home Team ID,Visiting Team ID
2024-10-22,22400061,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,NYK,East,Atlantic,Yes,Yes,1610612738,1610612752
2024-10-22,22400062,10:00 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,MIN,West,Northwest,No,Yes,1610612747,1610612750
2024-10-23,22400067,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,CLE,East,Central,No,Yes,1610612761,1610612739
2024-10-23,22400072,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,GSW,West,Pacific,No,Yes,1610612757,1610612744
2024-10-23,22400071,10:00 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,PHX,West,Pacific,Yes,Yes,1610612746,1610612756
2024-10-23,22400070,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,MEM,West,Southwest,No,Yes,1610612762,1610612763
2024-10-23,22400066,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,MIL,East,Central,No,Yes,1610612755,1610612749
2024-10-23,22400068,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,CHA,East,Southeast,No,No,1610612745,1610612766
2024-10-23,22400065,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,ORL,East,Southeast,Yes,Yes,1610612748,1610612753
2024-10-23,22400064,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,BKN,East,Atlantic,No,Yes,1610612737,1610612751
2024-10-23,22400069,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,CHI,East,Central,No,No,1610612740,1610612741
2024-10-23,22400063,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,IND,East,Central,Yes,Yes,1610612765,1610612754
2024-10-24,22400073,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,BOS,East,Atlantic,No,Yes,1610612764,1610612738
2024-10-24,22400074,7:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,SAS,West,Southwest,Yes,Yes,1610612742,1610612759
2024-10-24,22400075,10:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,OKC,West,Northwest,Yes,Yes,1610612743,1610612760
2024-10-24,22400076,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,MIN,West,Northwest,No,Yes,1610612758,1610612750
2024-10-25,22400086,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,NOP,West,Southwest,No,Yes,1610612757,1610612740
2024-10-25,22400085,10:00 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,PHX,West,Pacific,Yes,Yes,1610612747,1610612756
2024-10-25,22400084,9:30 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,GSW,West,Pacific,No,Yes,1610612762,1610612744
2024-10-25,22400083,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,CHI,East,Central,Yes,Yes,1610612749,1610612741
2024-10-25,22400080,7:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,DET,East,Central,Yes,Yes,1610612739,1610612765
2024-10-25,22400081,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,IND,East,Central,No,Yes,1610612752,1610612754
2024-10-25,22400079,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,CHA,East,Southeast,Yes,Yes,1610612737,1610612766
2024-10-25,22400078,7:00 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,PHI,East,Atlantic,Yes,Yes,1610612761,1610612755
2024-10-25,22400077,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,BKN,East,Atlantic,No,Yes,1610612753,1610612751
2024-10-25,22400082,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,MEM,West,Southwest,Yes,Yes,1610612745,1610612763
2024-10-26,22400094,8:30 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,HOU,West,Southwest,Yes,Yes,1610612759,1610612745
2024-10-26,22400095,10:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,DAL,West,Southwest,No,Yes,1610612756,1610612742
2024-10-26,22400093,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,TOR,East,Atlantic,No,No,1610612750,1610612761
2024-10-26,22400096,10:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,SAC,West,Pacific,Yes,Yes,1610612747,1610612758
2024-10-26,22400091,8:00 pm ET,United Center,Chicago,CHI,East,Central,OKC,West,Northwest,No,No,1610612741,1610612760
2024-10-26,22400090,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,CLE,East,Central,No,Yes,1610612764,1610612739
2024-10-26,22400089,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,BOS,East,Atlantic,No,Yes,1610612765,1610612738
2024-10-26,22400087,5:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,LAC,West,Pacific,No,Yes,1610612743,1610612746
2024-10-26,22400088,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,MIA,East,Southeast,Yes,Yes,1610612766,1610612748
2024-10-26,22400092,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,ORL,East,Southeast,No,No,1610612763,1610612753
2024-10-27,22400097,3:30 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,PHI,East,Atlantic,No,Yes,1610612754,1610612755
2024-10-27,22400098,6:00 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,MIL,East,Central,No,Yes,1610612751,1610612749
2024-10-27,22400099,6:00 pm ET,Moda Center,Portland,POR,West,Northwest,NOP,West,Southwest,No,Yes,1610612757,1610612740
2024-10-27,22400100,7:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,ATL,East,Southeast,No,No,1610612760,1610612737
2024-10-27,22400101,8:30 pm ET,Chase Center,San Francisco,GSW,West,Pacific,LAC,West,Pacific,Yes,Yes,1610612744,1610612746
2024-10-28,22400112,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,POR,West,Northwest,No,Yes,1610612758,1610612757
2024-10-28,22400111,10:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,LAL,West,Pacific,Yes,Yes,1610612756,1610612747
2024-10-28,22400110,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,UTA,West,Northwest,No,Yes,1610612742,1610612762
2024-10-28,22400109,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,HOU,West,Southwest,Yes,Yes,1610612759,1610612745
2024-10-28,22400107,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,DEN,West,Northwest,No,No,1610612761,1610612743
2024-10-28,22400106,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,CLE,East,Central,No,Yes,1610612752,1610612739
2024-10-28,22400105,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,DET,East,Central,No,Yes,1610612748,1610612765
2024-10-28,22400104,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,MIL,East,Central,No,Yes,1610612738,1610612749
2024-10-28,22400103,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,WAS,East,Southeast,Yes,Yes,1610612737,1610612764
2024-10-28,22400102,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,IND,East,Central,No,Yes,1610612753,1610612754
2024-10-28,22400108,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,CHI,East,Central,No,No,1610612763,1610612741
2024-10-29,22400113,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,DEN,West,Northwest,No,No,1610612751,1610612743
2024-10-29,22400114,7:30 pm ET,Target Center,Minneapolis,MIN,West,Northwest,DAL,West,Southwest,No,Yes,1610612750,1610612742
2024-10-29,22400115,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,SAC,West,Pacific,No,Yes,1610612762,1610612758
2024-10-29,22400116,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,NOP,West,Southwest,No,Yes,1610612744,1610612740
2024-10-30,22400125,9:30 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,SAS,West,Southwest,No,Yes,1610612760,1610612759
2024-10-30,22400127,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,POR,West,Northwest,No,Yes,1610612746,1610612757
2024-10-30,22400126,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,NOP,West,Southwest,No,Yes,1610612744,1610612740
2024-10-30,22400124,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,BKN,East,Atlantic,No,No,1610612763,1610612751
2024-10-30,22400122,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,NYK,East,Atlantic,No,Yes,1610612748,1610612752
2024-10-30,22400117,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,TOR,East,Atlantic,No,Yes,1610612766,1610612761
2024-10-30,22400121,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,ATL,East,Southeast,Yes,Yes,1610612764,1610612737
2024-10-30,22400120,7:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,DET,East,Central,No,Yes,1610612755,1610612765
2024-10-30,22400119,7:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,BOS,East,Atlantic,No,Yes,1610612754,1610612738
2024-10-30,22400123,8:00 pm ET,United Center,Chicago,CHI,East,Central,ORL,East,Southeast,No,Yes,1610612741,1610612753
